SampleID,Population,Temp.Treatment,Date.Started,Larval.Survival,Date.Larval.Death,Larval.Diapause,Date.Pupation,Pupal.Survival,Date.Pupal.Death,Date.Adult.Eclosion,Date.Adult.Death,Sex,Usage,Notes,Extract.Status,Date.Extracted,Extraction.Notes,Nanodrop.Conc,Nanodrop.260.280,Nanodrop.260.230,Approximate.Volume,Left.Wing.Length,Remove.From.Fitness.Count
Hop37.020,HOP,E,7/6/22,N,7/11/22,,,,,,,,,,,,,,,,,,
Hop37.021,HOP,F,7/6/22,N,7/12/22,,,,,,,,,,,,,,,,,,
Hop37.022,HOP,F,7/6/22,N,7/12/22,,,,,,,,,,,,,,,,,,
Hop37.023,HOP,F,7/6/22,N,7/11/22,,,,,,,,,,,,,,,,,,
Hop37.024,HOP,F,7/6/22,N,7/9/22,,,,,,,,,,,,,,,,,,
Hop37.025,HOP,F,7/6/22,N,7/9/22,,,,,,,,,,,,,,,,,,
Hop37.026,HOP,D,7/6/22,Y,,,7/15/22,Y,,7/19/22,7/29/22,M,,,,,,,,,,2.838,
Hop37.027,HOP,D,7/6/22,Y,,,7/17/22,Y,,7/21/22,7/30/22,F,,,,,,,,,,NA,
Hop37.028,HOP,D,7/6/22,Y,,,7/17/22,Y,,7/21/22,8/3/22,F,,,,,,,,,,NA,yes
Hop37.029,HOP,D,7/6/22,N,7/11/22,,,,,,,,,,,,,,,,,,
Hop37.030,HOP,D,7/6/22,N,7/9/22,,,,,,,,,,,,,,,,,,
Hop37.031,HOP,A,7/6/22,,,y,,,,,,,,,,,,,,,,,
Hop37.032,HOP,A,7/6/22,,,y,,,,,,,,,,,,,,,,,
Hop37.033,HOP,A,7/6/22,,,y,,,,,,,,,,,,,,,,,
Hop37.034,HOP,A,7/6/22,,,y,,,,,,,,,,,,,,,,,
Hop37.035,HOP,A,7/6/22,,,y,,,,,,,,,,,,,,,,,
Hop37.036,HOP,E,7/6/22,Y,,,7/15/22,Y,,7/18/22,7/27/22,M,,,needs clean-up,9/8/22,,16.9,1.97,0.64,99,2.419,
Hop37.037,HOP,E,7/6/22,N,7/11/22,,,,,,,,,,,,,,,,,,
Hop37.038,HOP,E,7/6/22,N,7/11/22,,,,,,,,,,,,,,,,,,
Hop37.039,HOP,E,7/6/22,N,7/11/22,,,,,,,,,,,,,,,,,,
Hop37.040,HOP,E,7/6/22,N,7/11/22,,,,,,,,,,,,,,,,,,
Hop37.041,HOP,F,7/6/22,N,7/11/22,,,,,,,,,,,,,,,,,,
Hop37.042,HOP,F,7/6/22,N,7/11/22,,,,,,,,,,,,,,,,,,
Hop37.043,HOP,F,7/6/22,N,7/11/22,,,,,,,,,,,,,,,,,,
Hop37.044,HOP,F,7/6/22,N,7/11/22,,,,,,,,,,,,,,,,,,
Hop37.045,HOP,F,7/6/22,N,7/9/22,,,,,,,,,,,,,,,,,,
Hop37.046,HOP,D,7/6/22,Y,,,7/15/22,Y,,7/19/22,issue,,Remove,"Adult death originally noted as 7/21, but then dead adult found 7/23...",,,,,,,,,
Hop37.047,HOP,D,7/6/22,Y,,,7/15/22,Y,,7/19/22,7/21/22,M,,,needs clean-up,,,18.5,2.09,1.71,99,2.608,
Hop37.048,HOP,D,7/6/22,Y,,,7/16/22,,,7/23/22,7/31/22,F,,,,,,,,,,3.073,
Hop37.049,HOP,D,7/6/22,Y,,,7/17/22,,,7/23/22,7/30/22,F,,,,,,,,,,3.135,
Hop37.050,HOP,D,7/6/22,N,7/16/22,,,,,,,,,,,,,,,,,,
Hop37.051,HOP,F,7/6/22,N,7/11/22,,,,,,,,,,,,,,,,,,
Hop37.052,HOP,F,7/6/22,N,7/11/22,,,,,,,,,,,,,,,,,,
Hop37.053,HOP,F,7/6/22,N,7/11/22,,,,,,,,,,,,,,,,,,
Hop37.054,HOP,F,7/6/22,N,7/11/22,,,,,,,,,,,,,,,,,,
Hop37.055a,HOP,F,7/6/22,N,7/11/22,,,,,,,,,,,,,,,,,,
Hop37.055b,HOP,F,7/6/22,N,7/10/22,,,,,,,,,,,,,,,,,,
Hop37.056,HOP,B,7/6/22,Y,,,7/28/22,,,8/7/22,8/11/22,M,,,,,,,,,,,
Hop37.057,HOP,B,7/6/22,Y,,,7/29/22,,,8/7/22,8/18/22,M,,,,,,,,,,2.781,
Hop37.057B,HOP,B,7/6/22,Y,,,,,,8/8/22,8/17/22,M,DontSequence,This second Hop37.057 adult eclosed on 8/8 (M). Decided to designate it 057B,,,,,,,,,
Hop37.058,HOP,B,7/6/22,N,,,7/30/22,,,8/9/22,8/17/22,F,,,,,,,,,,NA,
Hop37.059,HOP,B,7/6/22,N,,,7/30/22,,,8/9/22,8/15/22,F,,,done,26-Sep,,25.9,2.17,2.31,200,3.378,
Hop37.060a,HOP,B,7/6/22,N,,,8/1/22,,,8/11/22,8/24/22,F,,,,,,,,,,3.426,
Hop37.061,HOP,E,7/6/22,Y,,,7/14/22,Y,,7/17/22,7/21/22,M,,,,,,,,,,NA,
Hop37.062,HOP,E,7/6/22,Y,,,7/14/22,Y,,7/17/22,NA. Lost,?,DontSequence,Adult lost,,,,,,,,,
Hop37.063,HOP,E,7/6/22,N,7/11/22,,,,,,,,,,,,,,,,,,
Hop37.064,HOP,E,7/6/22,N,7/11/22,,,,,,,,,,,,,,,,,,
Hop37.065a,HOP,E,7/6/22,N,7/11/22,,,,,,,,,,,,,,,,,,
Hop37.065b,HOP,E,7/6/22,N,7/11/22,,,,,,,,,,,,,,,,,,
Hop37.066,HOP,F,7/6/22,N,7/11/22,,,,,,,,,,,,,,,,,,
Hop37.067,HOP,F,7/6/22,N,7/11/22,,,,,,,,,,,,,,,,,,
Hop37.068,HOP,F,7/6/22,N,7/11/22,,,,,,,,,,,,,,,,,,
Hop37.069,HOP,F,7/6/22,N,7/11/22,,,,,,,,,,,,,,,,,,
Hop37.070,HOP,F,7/6/22,N,7/11/22,,,,,,,,,,,,,,,,,,
Hop37.071,HOP,C,7/6/22,,,,7/21/22,,,7/27/22,7/31/22,M,,,,,,,,,,,
Hop37.072,HOP,C,7/6/22,,,,7/22/22,,,7/29/22,8/16/22,M,,,needs clean-up,9/22/22,,5.2,2.6,0.65,,2.776,
Hop37.073,HOP,C,7/6/22,,,,7/23/22,,,7/30/22,8/25/22,F,,,needs clean-up,9/13/22,,15.3,1.96,0.93,200,NA,yes
Hop37.074,HOP,C,7/6/22,,,,,,,,,,,does not exist?,,,,,,,,,
Hop37.075,HOP,C,7/6/22,N,7/16/22,,,,,,,,,,,,,,,,,,
Hop37.076,HOP,D,7/6/22,Y,,,7/16/22,Y,,7/20/22,7/21/22,M,,,,,,,,,,,
Hop37.077,HOP,D,7/6/22,Y,,,7/17/22,Y,,7/21/22,8/21/22,F,,,needs clean-up,9/13/22,,16.6,2,0.87,200,NA,yes
Hop37.078,HOP,D,7/6/22,Y,,,7/17/22,Y,,7/21/22,7/24/22,F,,,,,,,,,,,
Hop37.079,HOP,D,7/6/22,Y,,,7/18/22,Y,,7/22/22,7/28/22,F,,,done,9/20/22,,33,2.17,2.05,200,3.212,
Hop37.080,HOP,D,7/6/22,N,7/16/22,,,,,,,,,,,,,,,,,,
Hop37.081,HOP,A,7/6/22,,,y,,,,,,,,,,,,,,,,,
Hop37.082,HOP,A,7/6/22,,,y,,,,,,,,,,,,,,,,,
Hop37.083,HOP,A,7/6/22,,,y,,,,,,,,,,,,,,,,,
Hop37.084,HOP,A,7/6/22,N,8/14/22,,,,,,,,,,,,,,,,,,
Hop37.085,HOP,A,7/6/22,N,7/10/22,,,,,,,,,,,,,,,,,,
Hop37.086,HOP,E,7/6/22,Y,,,7/15/22,Y,,7/17/22,7/18/22,?,,,,,,,,,,,
Hop37.087,HOP,E,7/6/22,Y,,,7/16/22,Y,,7/19/22,7/25/22,F,,,done,9/22/22,,19.7,2.19,2.47,200,2.935,
Hop37.088,HOP,E,7/6/22,Y,,,7/16/22,Y,,7/18/22,7/21/22,M,,,needs clean-up,9/8/22,,22.5,2.02,0.77,99,2.545,
Hop37.089,HOP,E,7/6/22,Y,,,7/16/22,Y,,7/19/22,7/25/22,F,,,needs clean-up,9/26/22,,7.1,1.86,0.94,200,2.69,
Hop37.090,HOP,E,7/6/22,N,7/11/22,,,,,,,,,,,,,,,,,,
Hop37.091,HOP,F,7/6/22,N,7/11/22,,,,,,,,,,,,,,,,,,
Hop37.092,HOP,F,7/6/22,N,7/11/22,,,,,,,,,,,,,,,,,,
Hop37.093,HOP,F,7/6/22,N,7/11/22,,,,,,,,,,,,,,,,,,
Hop37.094,HOP,F,7/6/22,N,7/11/22,,,,,,,,,,,,,,,,,,
Hop37.095,HOP,F,7/6/22,N,7/9/22,,7/21/22,,,,,,,,,,,,,,,,
Hop37.096a,HOP,C,7/6/22,Y,,,7/22/22,,,7/28/22,8/3/22,M,,,,,,,,,,2.722,
Hop37.096b,HOP,C,7/6/22,Y,,,7/22/22,,,7/28/22,8/6/22,M,,,,,,,,,,NA,
Hop37.096c,HOP,C,7/6/22,Y,,,7/22/22,,,7/28/22,7/31/22,M,,,,,,,,,,,
Hop37.097,HOP,C,7/6/22,Y,,,7/25/22,,,7/29/22,8/20/22,M,,,done,9/22/22,,7.4,1.98,7.43,200,2.791,
Hop37.098,HOP,C,7/6/22,Y,,,7/24/22,,,7/30/22,8/5/22,F,,,,,,,,,,,
Hop37.099,HOP,C,7/6/22,N,7/24/22,,,,,,,,,,,,,,,,,,
Hop37.100a,HOP,C,7/6/22,N,7/22/22,,,,,,,,,,,,,,,,,,
Hop37.100b,HOP,C,7/6/22,N,7/22/22,,,,,,,,,,,,,,,,,,
Hop37.101,HOP,D,7/6/22,Y,,,7/15/22,Y,,7/19/22,7/27/22,F,,,done,9/26/22,,4.7,1.79,5.95,200,2.453,
Hop37.102,HOP,D,7/6/22,Y,,,7/16/22,Y,,7/20/22,7/30/22,M,,,,,,,,,,2.669,
Hop37.103,HOP,D,7/6/22,Y,,,7/16/22,Y,,7/20/22,7/29/22,M,,,,,,,,,,2.632,
Hop37.104,HOP,D,7/6/22,Y,,,7/17/22,Y,,7/21/22,7/23/22,F,,,,,,,,,,3.229,
Hop37.105a,HOP,D,7/6/22,Y,,,7/17/22,Y,,7/21/22,7/24/22,F,,,,,,,,,,,
Hop37.105b,HOP,D,7/6/22,Y,,,7/18/22,Y,,7/22/22,7/24/22,F,,,,,,,,,,,
Hop37.106,HOP,F,7/6/22,N,7/11/22,,,,,,,,,,,,,,,,,,
Hop37.107,HOP,F,7/6/22,N,7/11/22,,,,,,,,,,,,,,,,,,
Hop37.108,HOP,F,7/6/22,N,7/11/22,,,,,,,,,,,,,,,,,,
Hop37.109,HOP,F,7/6/22,N,7/11/22,,,,,,,,,,,,,,,,,,
Hop37.110,HOP,F,7/6/22,N,7/9/22,,,,,,,,,,,,,,,,,,
Hop37.111,HOP,E,7/6/22,Y,,,7/15/22,Y,,7/17/22,7/25/22,M,,,done,9/20/22,,27.6,2.11,3.74,200,2.562,
Hop37.112,HOP,E,7/6/22,Y,,,7/16/22,Y,,7/20/22,7/23/22,M,,,,,,,,,,2.752,
Hop37.113,HOP,E,7/6/22,Y,,,7/16/22,Y,,7/19/22,7/22/22,M,,,,,,,,,,,
Hop37.114,HOP,E,7/6/22,Y,,,7/17/22,Y,,7/20/22,8/1/22,F,,,,,,,,,,2.952,
Hop37.115,HOP,E,7/6/22,Y,,,7/18/22,Y,,7/21/22,7/28/22,F,,,,,,,,,,NA,
Hop37.116,HOP,D,7/6/22,Y,,,7/16/22,Y,,7/19/22,7/27/22,M,,,done,9/26/22,,5.1,1.8,5.54,200,2.613,
Hop37.117,HOP,D,7/6/22,Y,,,7/16/22,Y,,7/20/22,7/22/22,M,,,,,,,,,,2.555,
Hop37.118,HOP,D,7/6/22,N,7/11/22,,,,,,,,,,,,,,,,,,
Hop37.119,HOP,D,7/6/22,N,7/11/22,,,,,,,,,,,,,,,,,,
Hop37.120,HOP,D,7/6/22,N,7/11/22,,,,,,,,,,,,,,,,,,
Hop37.121,HOP,A,7/6/22,,,y,,,,,,,,,,,,,,,,,
Hop37.122,HOP,A,7/6/22,,,y,,,,,,,,,,,,,,,,,
Hop37.123,HOP,A,7/6/22,,,y,,,,,,,,,,,,,,,,,
Hop37.124,HOP,A,7/6/22,N,7/22/22,,,,,,,,,,,,,,,,,,
Hop37.125,HOP,A,7/6/22,N,7/11/22,,,,,,,,,,,,,,,,,,
Hop37.126,HOP,C,7/6/22,Y,,,7/21/22,,,7/28/22,8/8/22,M,,,,,,,,,,2.642,
Hop37.127,HOP,C,7/6/22,Y,,,7/21/22,,,7/27/22,7/30/22,M,,,done,9/22/22,,19,2.24,3.04,200,2.671,
Hop37.128,HOP,C,7/6/22,Y,,,7/21/22,,,7/28/22,8/9/22,M,,,error. discard,9/20/22,put in 'needs clean-up' rack for now,6.9,1.72,-13.51,200,2.684,
Hop37.129,HOP,C,7/6/22,Y,,,7/23/22,,,7/29/22,8/1/22,M,,,,,,,,,,,
Hop37.130,HOP,C,7/6/22,Y,,,7/23/22,,,8/1/22,8/11/22,F,,,,,,,,,,,
Hop37.131,HOP,F,7/6/22,N,7/11/22,,,,,,,,,,,,,,,,,,
Hop37.132,HOP,F,7/6/22,N,7/11/22,,,,,,,,,,,,,,,,,,
Hop37.133,HOP,F,7/6/22,N,7/11/22,,,,,,,,,,,,,,,,,,
Hop37.134,HOP,F,7/6/22,N,7/11/22,,,,,,,,,,,,,,,,,,
Hop37.135,HOP,F,7/6/22,N,7/7/22,,,,,,,,,,,,,,,,,,
Hop37.136,HOP,E,7/6/22,Y,,,7/14/22,Y,,7/17/22,7/20/22,F,,,,,,,,,,NA,
Hop37.137,HOP,E,7/6/22,Y,,,7/16/22,Y,,7/19/22,8/1/22,F,,,,,,,,,,2.724,
Hop37.138,HOP,E,7/6/22,N,7/11/22,,,,,,,,,,,,,,,,,,
Hop37.139,HOP,E,7/6/22,N,7/9/22,,,,,,,,,,,,,,,,,,
Hop37.140,HOP,E,7/6/22,N,7/9/22,,,,,,,,,,,,,,,,,,
Hop37.141,HOP,B,7/6/22,,,,7/28/22,Y,,8/7/22,8/14/22,M,,,,,,,,,,2.725,
Hop37.142,HOP,B,7/6/22,,,,7/29/22,Y,,8/8/22,8/18/22,F,,,,,,,,,,3.458,
Hop37.143,HOP,B,7/6/22,,,,7/30/22,Y,,8/9/22,9/6/22,F,,,,,,,,,,3.446,
Hop37.144,HOP,B,7/6/22,,,,7/30/22,Y,,8/9/22,8/24/22,M,,,needs clean-up,9/13/22,,6.3,2.28,0.55,200,NA,
Hop37.145,HOP,B,7/6/22,,,,7/31/22,Y,,8/10/22,8/13/22,F,,,done,9/22/22,,41.3,2.18,2.88,200,3.152,
Hop37.146,HOP,D,7/6/22,Y,,,7/15/22,Y,,7/19/22,7/19/22,?,,,,,,,,,,,
Hop37.147,HOP,D,7/6/22,Y,,,7/16/22,Y,,7/19/22,7/21/22,M,,,,,,,,,,,
Hop37.148,HOP,D,7/6/22,Y,,,7/16/22,Y,,7/21/22,7/23/22,F,,,,,,,,,,,
Hop37.149,HOP,D,7/6/22,Y,,,7/16/22,Y,,7/19/22,7/25/22,M,,,done,9/26/22,,8.1,1.96,2.18,200,2.583,
Hop37.150,HOP,D,7/6/22,Y,,,7/17/22,Y,,7/22/22,7/24/22,F,,,,,,,,,,,
Hop37.151,HOP,F,7/6/22,N,7/11/22,,,,,,,,,,,,,,,,,,
Hop37.152,HOP,F,7/6/22,N,7/11/22,,,,,,,,,,,,,,,,,,
Hop37.153,HOP,F,7/6/22,N,7/10/22,,,,,,,,,,,,,,,,,,
Hop37.154,HOP,F,7/6/22,N,7/9/22,,,,,,,,,,,,,,,,,,
Hop37.155,HOP,F,7/6/22,N,7/9/22,,,,,,,,,,,,,,,,,,
Hop37.156,HOP,E,7/6/22,N,7/12/22,,,,,,,,,,,,,,,,,,
Hop37.157,HOP,E,7/6/22,N,7/11/22,,,,,,,,,,,,,,,,,,
Hop37.158,HOP,E,7/6/22,N,7/10/22,,,,,,,,,,,,,,,,,,
Hop37.159,HOP,E,7/6/22,N,7/9/22,,,,,,,,,,,,,,,,,,
Hop37.160,HOP,E,7/6/22,N,7/9/22,,,,,,,,,,,,,,,,,,
Hop37.161,HOP,F,7/6/22,N,7/20/22,,,,,,,,,,,,,,,,,,
Hop37.162,HOP,F,7/6/22,N,7/18/22,,,,,,,,,,,,,,,,,,
Hop37.163,HOP,F,7/6/22,N,7/11/22,,,,,,,,,,,,,,,,,,
Hop37.164,HOP,F,7/6/22,N,7/9/22,,,,,,,,,,,,,,,,,,
Hop37.165,HOP,F,7/6/22,N,7/9/22,,,,,,,,,,,,,,,,,,
Hop37.166,HOP,E,7/6/22,Y,,,7/15/22,Y,,7/18/22,7/20/22,M,,,,,,,,,,2.042,
Hop37.167,HOP,E,7/6/22,Y,,,7/16/22,Y,,7/20/22,7/27/22,M,,,,,,,,,,,
Hop37.168,HOP,E,7/6/22,N,7/11/22,,,,,,,,,,,,,,,,,,
Hop37.169,HOP,E,7/6/22,N,7/11/22,,,,,,,,,,,,,,,,,,
Hop37.170,HOP,E,7/6/22,N,7/11/22,,,,,,,,,,,,,,,,,,
Hop37.171,HOP,D,7/6/22,Y,,,7/16/22,Y,,7/20/22,7/29/22,M,,,done,9/22/22,,12.4,2.08,6.85,200,2.45,
Hop37.172,HOP,D,7/6/22,Y,,,7/16/22,Y,,7/20/22,7/22/22,?,,,,,,,,,,,
Hop37.173,HOP,D,7/6/22,Y,,,7/18/22,Y,,7/24/22,7/26/22,F,,,,,,,,,,3.094,
Hop37.174,HOP,D,7/6/22,N,7/11/22,,,,,,,,,,,,,,,,,,
Hop37.175,HOP,D,7/6/22,N,7/11/22,,,,,,,,,,,,,,,,,,
Hop37.176,HOP,A,7/6/22,,,y,,,,,,,,,,,,,,,,,
Hop37.177,HOP,A,7/6/22,,,y,,,,,,,,,,,,,,,,,
Hop37.178,HOP,A,7/6/22,,,y,,,,,,,,,,,,,,,,,
Hop37.179,HOP,A,7/6/22,N,9/7/22,,,,,,,,,larva died sometime between 9/6 & 9/28. Recorded as 9/7,,,,,,,,,
Hop37.180,HOP,A,7/6/22,N,7/10/22,,,,,,,,,,,,,,,,,,
Hop37.181,HOP,B,7/6/22,Y,,,7/29/22,Y,,8/7/22,9/1/22,M,,,needs clean-up,9/13/22,,5.3,2.37,0.7,200,2.815,
Hop37.182,HOP,B,7/6/22,Y,,,7/29/22,,,8/8/22,8/12/22,M,,,,,,,,,,,
Hop37.183,HOP,B,7/6/22,Y,,,8/2/22,,,8/13/22,8/17/22,F,,,done,9/20/22,,62.2,2.18,2.67,200,3.469,
Hop37.184,HOP,B,7/6/22,N,7/29/22,,,,,,,,,,,,,,,,,,
Hop37.185,HOP,B,7/6/22,N,7/9/22,,,,,,,,,,,,,,,,,,
Hop37.186,HOP,C,7/6/22,Y,,,7/22/22,Y,,7/29/22,NA,?,DontSequence,,,,,,,,,,
Hop37.187,HOP,C,7/6/22,Y,,,7/22/22,Y,,7/28/22,7/30/22,M,,,,,,,,,,2.747,
Hop37.188,HOP,C,7/6/22,Y,,,7/24/22,Y,,7/31/22,8/24/22,F,,,,,,,,,,3.464,
Hop37.189,HOP,C,7/6/22,Y,,,7/25/22,,,?,?,,DontSequence,,,,,,,,,,
Hop37.190,HOP,C,7/6/22,N,7/16/22,,,,,,,,,,,,,,,,,,
Marin.35.001,MARIN35,F,7/7/22,N,7/17/22,,,,,,,,,,,,,,,,,,
Marin.35.002,MARIN35,F,7/7/22,N,7/13/22,,,,,,,,,,,,,,,,,,
Marin.35.003,MARIN35,F,7/7/22,N,7/13/22,,,,,,,,,,,,,,,,,,
Marin.35.004,MARIN35,F,7/7/22,N,7/11/22,,,,,,,,,,,,,,,,,,
Marin.35.005,MARIN35,F,7/7/22,N,7/10/22,,,,,,,,,,,,,,,,,,
Marin.35.006,MARIN35,F,7/7/22,N,7/12/22,,,,,,,,,,,,,,,,,,
Marin.35.007,MARIN35,F,7/7/22,N,7/12/22,,,,,,,,,,,,,,,,,,
Marin.35.008,MARIN35,F,7/7/22,N,7/11/22,,,,,,,,,,,,,,,,,,
Marin.35.009,MARIN35,F,7/7/22,N,7/11/22,,,,,,,,,,,,,,,,,,
Marin.35.010,MARIN35,F,7/7/22,N,7/10/22,,,,,,,,,,,,,,,,,,
Marin.35.011,MARIN35,F,7/7/22,N,7/22/22,,,,,,,,,,,,,,,,,,
Marin.35.012,MARIN35,F,7/7/22,N,7/12/22,,,,,,,,,,,,,,,,,,
Marin.35.013,MARIN35,F,7/7/22,N,7/12/22,,,,,,,,,,,,,,,,,,
Marin.35.014,MARIN35,F,7/7/22,N,7/12/22,,,,,,,,,,,,,,,,,,
Marin.35.015,MARIN35,F,7/7/22,N,7/10/22,,,,,,,,,,,,,,,,,,
Marin.35.016,MARIN35,F,7/7/22,N,7/19/22,,,,,,,,,,,,,,,,,,
Marin.35.017,MARIN35,F,7/7/22,N,7/12/22,,,,,,,,,,,,,,,,,,
Marin.35.018,MARIN35,F,7/7/22,N,7/12/22,,,,,,,,,,,,,,,,,,
Marin.35.019,MARIN35,F,7/7/22,N,7/10/22,,,,,,,,,,,,,,,,,,
Marin.35.020,MARIN35,F,7/7/22,N,7/10/22,,,,,,,,,,,,,,,,,,
Marin.35.021,MARIN35,F,7/7/22,N,7/12/22,,,,,,,,,,,,,,,,,,
Marin.35.022,MARIN35,F,7/7/22,N,7/12/22,,,,,,,,,,,,,,,,,,
Marin.35.023,MARIN35,F,7/7/22,N,7/11/22,,,,,,,,,,,,,,,,,,
Marin.35.024,MARIN35,F,7/7/22,N,7/10/22,,,,,,,,,,,,,,,,,,
Marin.35.025,MARIN35,F,7/7/22,N,7/9/22,,,,,,,,,,,,,,,,,,
Marin.35.026,MARIN35,F,7/7/22,N,7/12/22,,,,,,,,,,,,,,,,,,
Marin.35.027,MARIN35,F,7/7/22,N,7/12/22,,,,,,,,,,,,,,,,,,
Marin.35.028,MARIN35,F,7/7/22,N,7/12/22,,,,,,,,,,,,,,,,,,
Marin.35.029,MARIN35,F,7/7/22,N,7/12/22,,,,,,,,,,,,,,,,,,
Marin.35.030,MARIN35,F,7/7/22,N,7/10/22,,,,,,,,,,,,,,,,,,
Marin.35.031,MARIN35,F,7/7/22,N,7/13/22,,,,,,,,,,,,,,,,,,
Marin.35.032,MARIN35,F,7/7/22,N,7/12/22,,,,,,,,,,,,,,,,,,
Marin.35.033,MARIN35,F,7/7/22,N,7/12/22,,,,,,,,,,,,,,,,,,
Marin.35.034,MARIN35,F,7/7/22,N,7/12/22,,,,,,,,,,,,,,,,,,
Marin.35.035,MARIN35,F,7/7/22,N,7/9/22,,,,,,,,,,,,,,,,,,
Marin.35.036,MARIN35,F,7/7/22,N,7/12/22,,,,,,,,,,,,,,,,,,
Marin.35.037,MARIN35,F,7/7/22,N,7/12/22,,,,,,,,,,,,,,,,,,
Marin.35.038,MARIN35,F,7/7/22,N,7/11/22,,,,,,,,,,,,,,,,,,
Marin.35.039,MARIN35,F,7/7/22,N,7/9/22,,,,,,,,,,,,,,,,,,
Marin.35.040,MARIN35,F,7/7/22,N,7/9/22,,,,,,,,,,,,,,,,,,
Marin.35.041,MARIN35,F,7/7/22,N,7/12/22,,,,,,,,,,,,,,,,,,
Marin.35.042,MARIN35,F,7/7/22,N,7/12/22,,,,,,,,,,,,,,,,,,
Marin.35.043,MARIN35,F,7/7/22,N,7/12/22,,,,,,,,,,,,,,,,,,
Marin.35.044,MARIN35,F,7/7/22,N,7/12/22,,,,,,,,,,,,,,,,,,
Marin.35.045,MARIN35,F,7/7/22,N,7/10/22,,,,,,,,,,,,,,,,,,
Marin.35.046,MARIN35,F,7/7/22,N,7/12/22,,,,,,,,,,,,,,,,,,
Marin.35.047,MARIN35,F,7/7/22,N,7/12/22,,,,,,,,,,,,,,,,,,
Marin.35.048,MARIN35,F,7/7/22,N,7/10/22,,,,,,,,,,,,,,,,,,
Marin.35.049,MARIN35,F,7/7/22,N,7/9/22,,,,,,,,,,,,,,,,,,
Marin.35.050,MARIN35,F,7/7/22,N,7/9/22,,,,,,,,,,,,,,,,,,
Marin.35.051,MARIN35,E,7/7/22,Y,,,7/16/22,Y,,7/18/22,7/19/22,?,,,,,,,,,,,
Marin.35.052,MARIN35,E,7/7/22,Y,,,7/17/22,Y,,7/20/22,7/21/22,M,,,,,,,,,,2.517,
Marin.35.053,MARIN35,E,7/7/22,Y,,,7/18/22,Y,,7/21/22,7/23/22,F,,,,,,,,,,,
Marin.35.054,MARIN35,E,7/7/22,N,7/12/22,,,,,,,,,,,,,,,,,,
Marin.35.055,MARIN35,E,7/7/22,N,7/11/22,,,,,,,,,,,,,,,,,,
Marin.35.056,MARIN35,E,7/7/22,N,7/12/22,,,,,,,,,,,,,,,,,,
Marin.35.057,MARIN35,E,7/7/22,N,7/11/22,,,,,,,,,,,,,,,,,,
Marin.35.058,MARIN35,E,7/7/22,N,7/10/22,,,,,,,,,,,,,,,,,,
Marin.35.059,MARIN35,E,7/7/22,N,7/10/22,,,,,,,,,,,,,,,,,,
Marin.35.060,MARIN35,E,7/7/22,N,7/9/22,,,,,,,,,,,,,,,,,,
Marin.35.061,MARIN35,E,7/7/22,Y,,,7/16/22,Y,,7/19/22,7/21/22,M,,,,,,,,,,,
