"","SampleID","Population","Temp.Treatment","Date.Started","Larval.Survival","Date.Larval.Death","Larval.Diapause","Date.Pupation","Pupal.Survival","Date.Pupal.Death","Date.Adult.Eclosion","Date.Adult.Death","Sex","Usage","Left.Wing.Length","Remove.From.Fitness.Count","Length.Larval.Dev","Length.Pupal.Dev","Length.Juvenile.Dev","LarvalDevRate","PupalDevRate","JuvenileDevRate","Juvenile.Survival","AdultLifespan","EggCount","fitness","SexWeightedFitness"
"14","Hop37.014","HOP",23.75,2022-07-06,"1",NA,"n",2022-07-16,"1",NA,2022-07-20,2022-07-30,"F","",2.777,"",11,4,15,0.0909090909090909,0.25,0.0666666666666667,"1",10,54.58341,27.291705,19.7106758333333
"16","Hop37.016","HOP",27.5,2022-07-06,"1",NA,"n",2022-07-15,"1",NA,2022-07-18,2022-07-27,"F","",2.735,"",10,3,13,0.1,0.333333333333333,0.0769230769230769,"1",9,52.42755,0,0
"17","Hop37.017","HOP",27.5,2022-07-06,"1",NA,"n",2022-07-17,"1",NA,2022-07-20,2022-08-01,"F","",2.761,"",12,3,15,0.0833333333333333,0.333333333333333,0.0666666666666667,"1",12,53.76213,26.881065,10.752426
"18","Hop37.018","HOP",27.5,2022-07-06,"0",2022-07-11,"n",NA,NA,NA,NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,"0",NA,NA,0,0
"19","Hop37.019","HOP",27.5,2022-07-06,"0",2022-07-11,"n",NA,NA,NA,NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,"0",NA,NA,0,0
"20","Hop37.020","HOP",27.5,2022-07-06,"0",2022-07-11,"n",NA,NA,NA,NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,"0",NA,NA,0,0
"21","Hop37.021","HOP",32.18,2022-07-06,"0",2022-07-12,"n",NA,NA,NA,NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,"0",NA,NA,0,0
"22","Hop37.022","HOP",32.18,2022-07-06,"0",2022-07-12,"n",NA,NA,NA,NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,"0",NA,NA,0,0
"23","Hop37.023","HOP",32.18,2022-07-06,"0",2022-07-11,"n",NA,NA,NA,NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,"0",NA,NA,0,0
"24","Hop37.024","HOP",32.18,2022-07-06,"0",2022-07-09,"n",NA,NA,NA,NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,"0",NA,NA,0,0
"25","Hop37.025","HOP",32.18,2022-07-06,"0",2022-07-09,"n",NA,NA,NA,NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,"0",NA,NA,0,0
"26","Hop37.026","HOP",23.75,2022-07-06,"1",NA,"n",2022-07-15,"1",NA,2022-07-19,2022-07-29,"M","",2.838,"",10,4,14,0.1,0.25,0.0714285714285714,"1",10,57.71454,28.85727,20.8413616666667
"27","Hop37.027","HOP",23.75,2022-07-06,"1",NA,"n",2022-07-17,"1",NA,2022-07-21,2022-07-30,"F","",NA,"",12,4,16,0.0833333333333333,0.25,0.0625,"1",9,NA,0,0
"29","Hop37.029","HOP",23.75,2022-07-06,"0",2022-07-11,"n",NA,NA,NA,NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,"0",NA,NA,0,0
"30","Hop37.030","HOP",23.75,2022-07-06,"0",2022-07-09,"n",NA,NA,NA,NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,"0",NA,NA,0,0
"31","Hop37.031","HOP",5.49,2022-07-06,"1",NA,"y",NA,NA,NA,NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,"0",NA,NA,0,0
"32","Hop37.032","HOP",5.49,2022-07-06,"1",NA,"y",NA,NA,NA,NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,"0",NA,NA,0,0
"33","Hop37.033","HOP",5.49,2022-07-06,"1",NA,"y",NA,NA,NA,NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,"0",NA,NA,0,0
"34","Hop37.034","HOP",5.49,2022-07-06,"1",NA,"y",NA,NA,NA,NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,"0",NA,NA,0,0
"35","Hop37.035","HOP",5.49,2022-07-06,"1",NA,"y",NA,NA,NA,NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,"0",NA,NA,0,0
"36","Hop37.036","HOP",27.5,2022-07-06,"1",NA,"n",2022-07-15,"1",NA,2022-07-18,2022-07-27,"M","",2.419,"",10,3,13,0.1,0.333333333333333,0.0769230769230769,"1",9,36.20727,0,0
"37","Hop37.037","HOP",27.5,2022-07-06,"0",2022-07-11,"n",NA,NA,NA,NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,"0",NA,NA,0,0
"38","Hop37.038","HOP",27.5,2022-07-06,"0",2022-07-11,"n",NA,NA,NA,NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,"0",NA,NA,0,0
"39","Hop37.039","HOP",27.5,2022-07-06,"0",2022-07-11,"n",NA,NA,NA,NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,"0",NA,NA,0,0
"40","Hop37.040","HOP",27.5,2022-07-06,"0",2022-07-11,"n",NA,NA,NA,NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,"0",NA,NA,0,0
"41","Hop37.041","HOP",32.18,2022-07-06,"0",2022-07-11,"n",NA,NA,NA,NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,"0",NA,NA,0,0
"42","Hop37.042","HOP",32.18,2022-07-06,"0",2022-07-11,"n",NA,NA,NA,NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,"0",NA,NA,0,0
"43","Hop37.043","HOP",32.18,2022-07-06,"0",2022-07-11,"n",NA,NA,NA,NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,"0",NA,NA,0,0
"44","Hop37.044","HOP",32.18,2022-07-06,"0",2022-07-11,"n",NA,NA,NA,NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,"0",NA,NA,0,0
"45","Hop37.045","HOP",32.18,2022-07-06,"0",2022-07-09,"n",NA,NA,NA,NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,"0",NA,NA,0,0
"47","Hop37.047","HOP",23.75,2022-07-06,"1",NA,"n",2022-07-15,"1",NA,2022-07-19,2022-07-21,"M","",2.608,"",10,4,14,0.1,0.25,0.0714285714285714,"1",2,45.90864,0,0
"48","Hop37.048","HOP",23.75,2022-07-06,"1",NA,"n",2022-07-16,"1",NA,2022-07-23,2022-07-31,"F","",3.073,"",11,7,18,0.0909090909090909,0.142857142857143,0.0555555555555556,"1",8,69.77709,0,0
"49","Hop37.049","HOP",23.75,2022-07-06,"1",NA,"n",2022-07-17,"1",NA,2022-07-23,2022-07-30,"F","",3.135,"",12,6,18,0.0833333333333333,0.166666666666667,0.0555555555555556,"1",7,72.95955,0,0
"50","Hop37.050","HOP",23.75,2022-07-06,"0",2022-07-16,"n",NA,NA,NA,NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,"0",NA,NA,0,0
"51","Hop37.051","HOP",32.18,2022-07-06,"0",2022-07-11,"n",NA,NA,NA,NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,"0",NA,NA,0,0
"52","Hop37.052","HOP",32.18,2022-07-06,"0",2022-07-11,"n",NA,NA,NA,NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,"0",NA,NA,0,0
"53","Hop37.053","HOP",32.18,2022-07-06,"0",2022-07-11,"n",NA,NA,NA,NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,"0",NA,NA,0,0
"54","Hop37.054","HOP",32.18,2022-07-06,"0",2022-07-11,"n",NA,NA,NA,NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,"0",NA,NA,0,0
"55","Hop37.055a","HOP",32.18,2022-07-06,"0",2022-07-11,"n",NA,NA,NA,NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,"0",NA,NA,0,0
"56","Hop37.055b","HOP",32.18,2022-07-06,"0",2022-07-10,"n",NA,NA,NA,NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,"0",NA,NA,0,0
"57","Hop37.056","HOP",13.35,2022-07-06,"1",NA,"n",2022-07-28,"1",NA,2022-08-07,2022-08-11,"M","",NA,"",23,10,33,0.0434782608695652,0.1,0.0303030303030303,"1",4,NA,0,0
"58","Hop37.057","HOP",13.35,2022-07-06,"1",NA,"n",2022-07-29,"1",NA,2022-08-07,2022-08-18,"M","",2.781,"",24,9,33,0.0416666666666667,0.111111111111111,0.0303030303030303,"1",11,54.78873,0,0
"60","Hop37.058","HOP",13.35,2022-07-06,"1",NA,"n",2022-07-30,"1",NA,2022-08-09,2022-08-17,"F","",NA,"",25,10,35,0.04,0.1,0.0285714285714286,"1",8,NA,0,0
"61","Hop37.059","HOP",13.35,2022-07-06,"1",NA,"n",2022-07-30,"1",NA,2022-08-09,2022-08-15,"F","",3.378,"",25,10,35,0.04,0.1,0.0285714285714286,"1",6,85.43274,0,0
"62","Hop37.060a","HOP",13.35,2022-07-06,"1",NA,"n",2022-08-01,"1",NA,2022-08-11,2022-08-24,"F","",3.426,"",27,10,37,0.037037037037037,0.1,0.027027027027027,"1",13,87.89658,0,0
"63","Hop37.061","HOP",27.5,2022-07-06,"1",NA,"n",2022-07-14,"1",NA,2022-07-17,2022-07-21,"M","",NA,"",9,3,12,0.111111111111111,0.333333333333333,0.0833333333333333,"1",4,NA,0,0
"65","Hop37.063","HOP",27.5,2022-07-06,"0",2022-07-11,"n",NA,NA,NA,NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,"0",NA,NA,0,0
"66","Hop37.064","HOP",27.5,2022-07-06,"0",2022-07-11,"n",NA,NA,NA,NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,"0",NA,NA,0,0
"67","Hop37.065a","HOP",27.5,2022-07-06,"0",2022-07-11,"n",NA,NA,NA,NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,"0",NA,NA,0,0
"68","Hop37.065b","HOP",27.5,2022-07-06,"0",2022-07-11,"n",NA,NA,NA,NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,"0",NA,NA,0,0
"69","Hop37.066","HOP",32.18,2022-07-06,"0",2022-07-11,"n",NA,NA,NA,NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,"0",NA,NA,0,0
"70","Hop37.067","HOP",32.18,2022-07-06,"0",2022-07-11,"n",NA,NA,NA,NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,"0",NA,NA,0,0
"71","Hop37.068","HOP",32.18,2022-07-06,"0",2022-07-11,"n",NA,NA,NA,NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,"0",NA,NA,0,0
"72","Hop37.069","HOP",32.18,2022-07-06,"0",2022-07-11,"n",NA,NA,NA,NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,"0",NA,NA,0,0
"73","Hop37.070","HOP",32.18,2022-07-06,"0",2022-07-11,"n",NA,NA,NA,NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,"0",NA,NA,0,0
"74","Hop37.071","HOP",17.12,2022-07-06,"1",NA,"n",2022-07-21,"1",NA,2022-07-27,2022-07-31,"M","",NA,"",16,6,22,0.0625,0.166666666666667,0.0454545454545455,"1",4,NA,0,0
"75","Hop37.072","HOP",17.12,2022-07-06,"1",NA,"n",2022-07-22,"1",NA,2022-07-29,2022-08-16,"M","",2.776,"",17,7,24,0.0588235294117647,0.142857142857143,0.0416666666666667,"1",18,54.53208,27.26604,8.179812
"77","Hop37.074","HOP",17.12,2022-07-06,NA,NA,"n",NA,NA,NA,NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,"0",NA,NA,0,0
"78","Hop37.075","HOP",17.12,2022-07-06,"0",2022-07-16,"n",NA,NA,NA,NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,"0",NA,NA,0,0
"79","Hop37.076","HOP",23.75,2022-07-06,"1",NA,"n",2022-07-16,"1",NA,2022-07-20,2022-07-21,"M","",NA,"",11,4,15,0.0909090909090909,0.25,0.0666666666666667,"1",1,NA,0,0
"81","Hop37.078","HOP",23.75,2022-07-06,"1",NA,"n",2022-07-17,"1",NA,2022-07-21,2022-07-24,"F","",NA,"",12,4,16,0.0833333333333333,0.25,0.0625,"1",3,NA,0,0
"82","Hop37.079","HOP",23.75,2022-07-06,"1",NA,"n",2022-07-18,"1",NA,2022-07-22,2022-07-28,"F","",3.212,"",13,4,17,0.0769230769230769,0.25,0.0588235294117647,"1",6,76.91196,0,0
"83","Hop37.080","HOP",23.75,2022-07-06,"0",2022-07-16,"n",NA,NA,NA,NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,"0",NA,NA,0,0
"84","Hop37.081","HOP",5.49,2022-07-06,"1",NA,"y",NA,NA,NA,NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,"0",NA,NA,0,0
"85","Hop37.082","HOP",5.49,2022-07-06,"1",NA,"y",NA,NA,NA,NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,"0",NA,NA,0,0
"86","Hop37.083","HOP",5.49,2022-07-06,"1",NA,"y",NA,NA,NA,NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,"0",NA,NA,0,0
"87","Hop37.084","HOP",5.49,2022-07-06,"0",2022-08-14,"n",NA,NA,NA,NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,"0",NA,NA,0,0
"88","Hop37.085","HOP",5.49,2022-07-06,"0",2022-07-10,"n",NA,NA,NA,NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,"0",NA,NA,0,0
"89","Hop37.086","HOP",27.5,2022-07-06,"1",NA,"n",2022-07-15,"1",NA,2022-07-17,2022-07-18,"?","",NA,"",10,2,12,0.1,0.5,0.0833333333333333,"1",1,NA,0,0
"90","Hop37.087","HOP",27.5,2022-07-06,"1",NA,"n",2022-07-16,"1",NA,2022-07-19,2022-07-25,"F","",2.935,"",11,3,14,0.0909090909090909,0.333333333333333,0.0714285714285714,"1",6,62.69355,0,0
"91","Hop37.088","HOP",27.5,2022-07-06,"1",NA,"n",2022-07-16,"1",NA,2022-07-18,2022-07-21,"M","",2.545,"",11,2,13,0.0909090909090909,0.5,0.0769230769230769,"1",3,42.67485,0,0
"92","Hop37.089","HOP",27.5,2022-07-06,"1",NA,"n",2022-07-16,"1",NA,2022-07-19,2022-07-25,"F","",2.69,"",11,3,14,0.0909090909090909,0.333333333333333,0.0714285714285714,"1",6,50.1177,0,0
"93","Hop37.090","HOP",27.5,2022-07-06,"0",2022-07-11,"n",NA,NA,NA,NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,"0",NA,NA,0,0
"94","Hop37.091","HOP",32.18,2022-07-06,"0",2022-07-11,"n",NA,NA,NA,NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,"0",NA,NA,0,0
"95","Hop37.092","HOP",32.18,2022-07-06,"0",2022-07-11,"n",NA,NA,NA,NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,"0",NA,NA,0,0
"96","Hop37.093","HOP",32.18,2022-07-06,"0",2022-07-11,"n",NA,NA,NA,NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,"0",NA,NA,0,0
"97","Hop37.094","HOP",32.18,2022-07-06,"0",2022-07-11,"n",NA,NA,NA,NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,"0",NA,NA,0,0
"98","Hop37.095","HOP",32.18,2022-07-06,"0",2022-07-09,"n",2022-07-21,NA,NA,NA,NA,"","",NA,"",16,NA,NA,0.0625,NA,NA,"0",NA,NA,0,0
"99","Hop37.096a","HOP",17.12,2022-07-06,"1",NA,"n",2022-07-22,"1",NA,2022-07-28,2022-08-03,"M","",2.722,"",17,6,23,0.0588235294117647,0.166666666666667,0.0434782608695652,"1",6,51.76026,0,0
"100","Hop37.096b","HOP",17.12,2022-07-06,"1",NA,"n",2022-07-22,"1",NA,2022-07-28,2022-08-06,"M","",NA,"",17,6,23,0.0588235294117647,0.166666666666667,0.0434782608695652,"1",9,NA,0,0
"101","Hop37.096c","HOP",17.12,2022-07-06,"1",NA,"n",2022-07-22,"1",NA,2022-07-28,2022-07-31,"M","",NA,"",17,6,23,0.0588235294117647,0.166666666666667,0.0434782608695652,"1",3,NA,0,0
"102","Hop37.097","HOP",17.12,2022-07-06,"1",NA,"n",2022-07-25,"1",NA,2022-07-29,2022-08-20,"M","",2.791,"",20,4,24,0.05,0.25,0.0416666666666667,"1",22,55.30203,27.651015,8.2953045
"103","Hop37.098","HOP",17.12,2022-07-06,"1",NA,"n",2022-07-24,"1",NA,2022-07-30,2022-08-05,"F","",NA,"",19,6,25,0.0526315789473684,0.166666666666667,0.04,"1",6,NA,0,0
"104","Hop37.099","HOP",17.12,2022-07-06,"0",2022-07-24,"n",NA,NA,NA,NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,"0",NA,NA,0,0
"105","Hop37.100a","HOP",17.12,2022-07-06,"0",2022-07-22,"n",NA,NA,NA,NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,"0",NA,NA,0,0
"106","Hop37.100b","HOP",17.12,2022-07-06,"0",2022-07-22,"n",NA,NA,NA,NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,"0",NA,NA,0,0
"107","Hop37.101","HOP",23.75,2022-07-06,"1",NA,"n",2022-07-15,"1",NA,2022-07-19,2022-07-27,"F","",2.453,"",10,4,14,0.1,0.25,0.0714285714285714,"1",8,37.95249,0,0
"108","Hop37.102","HOP",23.75,2022-07-06,"1",NA,"n",2022-07-16,"1",NA,2022-07-20,2022-07-30,"M","",2.669,"",11,4,15,0.0909090909090909,0.25,0.0666666666666667,"1",10,49.03977,24.519885,17.7088058333333
"109","Hop37.103","HOP",23.75,2022-07-06,"1",NA,"n",2022-07-16,"1",NA,2022-07-20,2022-07-29,"M","",2.632,"",11,4,15,0.0909090909090909,0.25,0.0666666666666667,"1",9,47.14056,0,0
"110","Hop37.104","HOP",23.75,2022-07-06,"1",NA,"n",2022-07-17,"1",NA,2022-07-21,2022-07-23,"F","",3.229,"",12,4,16,0.0833333333333333,0.25,0.0625,"1",2,77.78457,0,0
"111","Hop37.105a","HOP",23.75,2022-07-06,"1",NA,"n",2022-07-17,"1",NA,2022-07-21,2022-07-24,"F","",NA,"",12,4,16,0.0833333333333333,0.25,0.0625,"1",3,NA,0,0
"112","Hop37.105b","HOP",23.75,2022-07-06,"1",NA,"n",2022-07-18,"1",NA,2022-07-22,2022-07-24,"F","",NA,"",13,4,17,0.0769230769230769,0.25,0.0588235294117647,"1",2,NA,0,0
"113","Hop37.106","HOP",32.18,2022-07-06,"0",2022-07-11,"n",NA,NA,NA,NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,"0",NA,NA,0,0
"114","Hop37.107","HOP",32.18,2022-07-06,"0",2022-07-11,"n",NA,NA,NA,NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,"0",NA,NA,0,0
"115","Hop37.108","HOP",32.18,2022-07-06,"0",2022-07-11,"n",NA,NA,NA,NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,"0",NA,NA,0,0
"116","Hop37.109","HOP",32.18,2022-07-06,"0",2022-07-11,"n",NA,NA,NA,NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,"0",NA,NA,0,0
"117","Hop37.110","HOP",32.18,2022-07-06,"0",2022-07-09,"n",NA,NA,NA,NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,"0",NA,NA,0,0
"118","Hop37.111","HOP",27.5,2022-07-06,"1",NA,"n",2022-07-15,"1",NA,2022-07-17,2022-07-25,"M","",2.562,"",10,2,12,0.1,0.5,0.0833333333333333,"1",8,43.54746,0,0
"119","Hop37.112","HOP",27.5,2022-07-06,"1",NA,"n",2022-07-16,"1",NA,2022-07-20,2022-07-23,"M","",2.752,"",11,4,15,0.0909090909090909,0.25,0.0666666666666667,"1",3,53.30016,0,0
"120","Hop37.113","HOP",27.5,2022-07-06,"1",NA,"n",2022-07-16,"1",NA,2022-07-19,2022-07-22,"M","",NA,"",11,3,14,0.0909090909090909,0.333333333333333,0.0714285714285714,"1",3,NA,0,0
"121","Hop37.114","HOP",27.5,2022-07-06,"1",NA,"n",2022-07-17,"1",NA,2022-07-20,2022-08-01,"F","",2.952,"",12,3,15,0.0833333333333333,0.333333333333333,0.0666666666666667,"1",12,63.56616,31.78308,12.713232
"122","Hop37.115","HOP",27.5,2022-07-06,"1",NA,"n",2022-07-18,"1",NA,2022-07-21,2022-07-28,"F","",NA,"",13,3,16,0.0769230769230769,0.333333333333333,0.0625,"1",7,NA,0,0
"123","Hop37.116","HOP",23.75,2022-07-06,"1",NA,"n",2022-07-16,"1",NA,2022-07-19,2022-07-27,"M","",2.613,"",11,3,14,0.0909090909090909,0.333333333333333,0.0714285714285714,"1",8,46.16529,0,0
"124","Hop37.117","HOP",23.75,2022-07-06,"1",NA,"n",2022-07-16,"1",NA,2022-07-20,2022-07-22,"M","",2.555,"",11,4,15,0.0909090909090909,0.25,0.0666666666666667,"1",2,43.18815,0,0
"125","Hop37.118","HOP",23.75,2022-07-06,"0",2022-07-11,"n",NA,NA,NA,NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,"0",NA,NA,0,0
"126","Hop37.119","HOP",23.75,2022-07-06,"0",2022-07-11,"n",NA,NA,NA,NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,"0",NA,NA,0,0
"127","Hop37.120","HOP",23.75,2022-07-06,"0",2022-07-11,"n",NA,NA,NA,NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,"0",NA,NA,0,0
"128","Hop37.121","HOP",5.49,2022-07-06,"1",NA,"y",NA,NA,NA,NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,"0",NA,NA,0,0
"129","Hop37.122","HOP",5.49,2022-07-06,"1",NA,"y",NA,NA,NA,NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,"0",NA,NA,0,0
"130","Hop37.123","HOP",5.49,2022-07-06,"1",NA,"y",NA,NA,NA,NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,"0",NA,NA,0,0
"131","Hop37.124","HOP",5.49,2022-07-06,"0",2022-07-22,"n",NA,NA,NA,NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,"0",NA,NA,0,0
"132","Hop37.125","HOP",5.49,2022-07-06,"0",2022-07-11,"n",NA,NA,NA,NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,"0",NA,NA,0,0
"133","Hop37.126","HOP",17.12,2022-07-06,"1",NA,"n",2022-07-21,"1",NA,2022-07-28,2022-08-08,"M","",2.642,"",16,7,23,0.0625,0.142857142857143,0.0434782608695652,"1",11,47.65386,23.82693,7.148079
"134","Hop37.127","HOP",17.12,2022-07-06,"1",NA,"n",2022-07-21,"1",NA,2022-07-27,2022-07-30,"M","",2.671,"",16,6,22,0.0625,0.166666666666667,0.0454545454545455,"1",3,49.14243,0,0
"135","Hop37.128","HOP",17.12,2022-07-06,"1",NA,"n",2022-07-21,"1",NA,2022-07-28,2022-08-09,"M","",2.684,"",16,7,23,0.0625,0.142857142857143,0.0434782608695652,"1",12,49.80972,24.90486,7.471458
"136","Hop37.129","HOP",17.12,2022-07-06,"1",NA,"n",2022-07-23,"1",NA,2022-07-29,2022-08-01,"M","",NA,"",18,6,24,0.0555555555555556,0.166666666666667,0.0416666666666667,"1",3,NA,0,0
"137","Hop37.130","HOP",17.12,2022-07-06,"1",NA,"n",2022-07-23,"1",NA,2022-08-01,2022-08-11,"F","",NA,"",18,9,27,0.0555555555555556,0.111111111111111,0.037037037037037,"1",10,NA,0,0
"138","Hop37.131","HOP",32.18,2022-07-06,"0",2022-07-11,"n",NA,NA,NA,NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,"0",NA,NA,0,0
"139","Hop37.132","HOP",32.18,2022-07-06,"0",2022-07-11,"n",NA,NA,NA,NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,"0",NA,NA,0,0
"140","Hop37.133","HOP",32.18,2022-07-06,"0",2022-07-11,"n",NA,NA,NA,NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,"0",NA,NA,0,0
"141","Hop37.134","HOP",32.18,2022-07-06,"0",2022-07-11,"n",NA,NA,NA,NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,"0",NA,NA,0,0
"142","Hop37.135","HOP",32.18,2022-07-06,"0",2022-07-07,"n",NA,NA,NA,NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,"0",NA,NA,0,0
"143","Hop37.136","HOP",27.5,2022-07-06,"1",NA,"n",2022-07-14,"1",NA,2022-07-17,2022-07-20,"F","",NA,"",9,3,12,0.111111111111111,0.333333333333333,0.0833333333333333,"1",3,NA,0,0
